"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Kainuu","Kuhmo","56.8","56.3","56.8","57.4","57.3","57.1","55","54.1","53.3","46.1","46.5","45.1","49.6","61.9","47.1","."
"Kainuu","Paltamo","45.7","87.2","45.8","45.7","45","45.5","43.9","41.9","40.9","34.2","46.6","46.6","46.3","42.9","39.3","."
"Kainuu","Puolanka","47.1","47.4","47.3","46.5","47.4","47.3","46.2","42.3","40.7","39.6","39.8","38.6","37.3","36.5","36.3","."
"Kainuu","Ristijärvi","47.9","46.7","52.3","60.4","65.3","65.7","63.2","53.2","48.9","42.5","42.3","42.9","41.3","47.1","34.4","."
"Kainuu","Sotkamo","48.1","47.7","46.7","47.6","46.9","47.4","45.9","44","43.4","42.7","41.3","40.1","39.3","39.6","38.3","."
"Kainuu","Suomussalmi","45.3","43.9","42.8","44.5","44.1","44.4","43.2","41.7","40.5","36.4","36.2","36.4","35.4","33.9","36","."
"Kainuu","Vaala","61.3","62","62.4","62.8","63.4","55.7","53.7","41.3","41.3","38.5","39.1","36.9","36.3","36.8","33.9","."
"Kanta-Häme","Forssa","47.7","47.6","46.7","46.3","47.8","56.1","52.9","51.7","48.9","48.5","47.5","46.1","44.5","43.1","42.5","."
"Kanta-Häme","Hämeenlinna","50.5","49.8","46.6","54","55","53.8","51.2","48.9","47","46.1","41.4","39.7","39.6","38.5","37.6","."
"Kanta-Häme","Hattula","39.1","38","38.6","49.3","51.5","52.2","49.8","47.5","45.8","44.2","43.5","43.9","44.7","46.3","42.4","."
"Kanta-Häme","Hausjärvi","49.5","42.7","42.5","44.1","47.9","45","44.2","41.2","40.1","38.7","37.1","33.3","33.9","32.8","32.5","."
"Kanta-Häme","Humppila","28.2","28.2","28.7","28.1","28.8","28.7","33.5","28.6","26.5","27.9","32.2","27.9","29.2","26.9","29.4","."
"Kanta-Häme","Janakkala","42.3","43.1","42.6","42.8","41.2","50.7","49.4","46.9","44.8","43.4","45.6","43.4","40.6","43.7","38.8","."
"Kanta-Häme","Jokioinen","40.7","42.4","40.5","39.7","41","46.3","45.7","42.5","42.4","40.8","40.2","37.3","34.9","33.5","37.6","."
"Kanta-Häme","Loppi","39.6","38.4","38.3","39.1","40.4","40.5","38.6","37.3","36.3","33.5","34","33","34.3","31.8","31.4","."
"Kanta-Häme","Riihimäki","50","49","48","48.6","49.4","41.3","48.5","45.5","41","38.4","37","41.7","41.2","39.7","45.3","."
"Kanta-Häme","Tammela","32.5","33.3","33.5","33.1","34.5","40.9","40.1","37.4","36","35.4","32.7","28.7","30.1","29.3","30.8","."
"Kanta-Häme","Ypäjä","37.4","39","37","39.1","43.5","44.5","42.9","39.1","37","34","33.8","34.6","33.8","29.3","30.3","."
"Keski-Pohjanmaa","Halsua","37","39.2","44.1","43.6","40.8","38.1","33.5","33","29.3","27.6","28.1","29.9","28","27","28.4","."
"Keski-Pohjanmaa","Kannus","47.5","46.8","48.3","48.1","48.3","48.4","47.2","45.7","42.1","44.5","43.9","41.7","45.4","42.1","39.3","."
"Keski-Pohjanmaa","Kaustinen","52.8","51.2","51.5","49.6","51.2","50.8","48.6","47.6","45","45.6","46.2","46.4","43.6","40.6","38.3","."
"Keski-Pohjanmaa","Kokkola","69.6","51.8","51.6","51.4","51.1","51.1","50.3","47.7","49.1","52.3","48.8","47.2","47.1","39","38.3","."
"Keski-Pohjanmaa","Lestijärvi","40.6","43.3","42.2","42.9","44","38.8","39.2","38.3","31.8","40","39.5","36.5","34.6","33.9","32.6","."
"Keski-Pohjanmaa","Perho","42.7","41.6","40.5","40.9","40.1","38.6","46.7","43.5","43.8","49.6","54.4","51.3","51.1","34.7","33.2","."
"Keski-Pohjanmaa","Toholampi","49","44.2","46.7","47.8","48.3","49.3","47.4","47.7","47.2","44.8","44.7","42","42.3","40.6","39.8","."
"Keski-Pohjanmaa","Veteli","51.8","48","45.1","46.5","43.1","39.1","33.8","42.7","43.4","46.6","50.4","51.7","54.3","55.2","33.1","."
"Keski-Suomi","Äänekoski","51.8","52.2","60","60","60","55.9","50.2","50.3","42.4","42.1","40.3","38.4","36.3","33.3","33.7","."
"Keski-Suomi","Hankasalmi","41.4","34.9","41.5","42.1","43.2","42.4","42.6","41.2","40.5","39.3","38.8","38.8","37.2","37","35.3","."
"Keski-Suomi","Jämsä","53.8","51.5","45.7","46.4","46","46.4","46.4","45.1","45.3","42","35","33.9","32.8","31.2","28.9","."
"Keski-Suomi","Joutsa","45.7","46.8","46.6","48.5","48.8","51.4","55.9","53.4","53.1","48.3","46.9","42.4","43.9","39.8","38.4","."
"Keski-Suomi","Jyväskylä","62","61.6","60.6","59.8","59.1","55.6","53.6","53.5","51.2","46.9","42.9","41.2","40.6","40.4","38.6","."
"Keski-Suomi","Kannonkoski","49.2","48.1","45.1","43.4","41.2","38.2","38.2","40.9","38.7","39.6","39.3","36.7","37.5","45.5","44.9","."
"Keski-Suomi","Karstula","51.9","52.7","53.5","53.2","49.8","50.7","47.7","46.6","45.9","46.2","45.5","44.1","44.7","43","44.2","."
"Keski-Suomi","Keuruu","49.4","54","54.4","54","54.1","47.6","48","46.8","44.6","41.5","42.2","41.7","40.6","39.5","44.5","."
"Keski-Suomi","Kinnula","42.6","39.5","40.1","40.1","40.7","40.6","40.6","39.3","37.9","39","38.4","37.5","37.3","39.5","46.4","."
"Keski-Suomi","Kivijärvi","40.5","40","42.1","40.9","44","47.4","46","46.4","43.4","40.9","40","38.3","34.9","32.3","36","."
"Keski-Suomi","Konnevesi","45","43.8","43.2","42.4","41.8","44.1","44","42.4","41.2","41.6","42.5","44.6","31.3","31.6","31.4","."
"Keski-Suomi","Kuhmoinen","75.7","88.5","95.4","72.4","61","63.3","60.1","64.8","62.4","65.2","65.7","64.9","58.8","56.8","62.2","."
"Keski-Suomi","Kyyjärvi","33.5","34.4","35.2","38","34.3","34.8","35.6","35.6","32.9","34","31.8","30.4","32.9","32.2","33.4","."
"Keski-Suomi","Laukaa","42","51.5","43.2","43.4","45.3","44.7","44.1","42.4","41.7","40.6","39.8","39.2","36.8","37.3","36.3","."
"Keski-Suomi","Luhanka","34.5","38.3","40.7","41.4","45.9","46.2","48.3","38.4","39.3","34.7","37.9","37.5","35.1","35.2","35.4","."
"Keski-Suomi","Multia","47.1","44.7","44.5","44.7","42.5","49.2","49.7","46.3","44.2","39.9","39.3","42.5","41","40.7","50.2","."
"Keski-Suomi","Muurame","46","46","45.1","50.3","53.6","51.7","49.4","55.7","52.6","52.1","48.2","46.4","47.7","45","43.3","."
"Keski-Suomi","Petäjävesi","37.5","38.1","38.5","37.9","35.8","38.3","36.9","30.1","35","37.1","37.7","28.5","28","34.2","32","."
"Keski-Suomi","Pihtipudas+Viitasaari","53.7","46.7","45.7","47.2","47.3","48","44.9","43.9","41.4","39.8","40.3","39.6","39.4","40.2","34.2","."
"Keski-Suomi","Saarijärvi","48.5","48.8","43.7","46.5","46.5","50","49.8","48.8","47.9","46.4","43.6","40.8","40.5","38.7","45.2","."
"Keski-Suomi","Toivakka","33.8","34.2","32.8","33","33.3","32.4","32.9","30.9","31.2","32","30.2","30.7","29.4","29","29.7","."
"Keski-Suomi","Uurainen","48.1","49.2","39.4","28.1","49.4","58.2","46.9","46","40.8","42","43.3","39.9","29.6","35.6","33.4","."
"Kymenlaakso","Hamina","54.3","54.7","54.5","54","39.1","35.5","42.4","42.3","39.3","38.7","37.9","38","37.5","36.9","36.1","."
"Kymenlaakso","Iitti","40.9","42.2","42.5","42.6","43","44.8","45.4","45.8","42.7","41.6","41.4","41.4","40.8","34.4","39.5","."
"Kymenlaakso","Kotka","36.4","42.1","41.9","41.6","39.4","37.7","41","41","37.1","36.7","36.2","34.7","34","33.8","32.9","."
"Kymenlaakso","Kouvola","62.2","62.1","60.8","59.8","58.9","52.7","60.1","60.4","56.2","55.5","36.7","35.4","34.5","34.6","33.2","."
"Kymenlaakso","Miehikkälä","31.3","31.4","34.9","33.5","30.7","23.8","28","28.2","36.9","26.2","22.2","29.4","28.6","26.4","25.8","."
"Kymenlaakso","Pyhtää","31.2","47","28.7","31.5","31.2","31.1","33.7","33.8","36","55.7","70.4","31.6","31.6","36.1","35.2","."
"Kymenlaakso","Virolahti","33.7","32.4","35.7","36.9","39.2","44.3","42.4","43.3","33.6","34","32.4","36.3","34.3","50.8","33.7","."
"Lappi","Enontekiö","46.3","45.2","46.4","44.8","49.4","55.4","51.7","49.3","46.5","52.4","50.8","51.6","43.4","41.4","39.9","."
"Lappi","Inari","52.3","51.9","51.7","53.1","52.9","51","52.4","50.5","49.6","45.1","46.9","45.3","44.3","44","42.9","."
"Lappi","Kemi","51.2","50.5","49.4","49.7","48.7","44.4","43.7","44","40.7","40.2","38.3","36.9","36.2","34.6","31.2","."
"Lappi","Kemijärvi","40.3","41.7","42.5","44.7","43.5","43.3","40","40.6","42","36.6","36.8","37.1","36.8","35.9","34.4","."
"Lappi","Keminmaa","20.8","50.7","57.5","43","42.7","39.3","49.9","50.7","35.1","32.8","33.7","41.6","32.4","30.8","31.6","."
"Lappi","Kittilä","51","51.5","51.5","51.4","55.3","53.5","53.8","52.8","51.6","50.9","50.2","48.1","47.6","46.6","47.2","."
"Lappi","Kolari","49","89.3","48.3","49.2","50.1","49","49.5","47.4","44.5","40.8","38.5","39.2","37.8","37.5","35","."
"Lappi","Muonio","66.1","65.5","67","67","66.5","64.6","79.8","65.8","64.8","67.6","64.2","68","62.9","64.7","58.6","."
"Lappi","Posio","44.1","44.9","44.8","46.1","45","44.1","44.2","41.2","41.9","39.9","38.5","37.3","37.1","36.6","34.8","."
"Lappi","Ranua","56.5","57.6","59.5","58.7","60.5","60.1","58.4","56.7","53.3","53.2","52.8","52.2","57.6","48.8","48.1","."
"Lappi","Rovaniemi","61.9","60.4","59.7","59.8","58","60.8","62.1","46.8","45.7","44","42.5","41","40","38.2","37.4","."
"Lappi","Salla","39.5","40.3","36","37.3","37","34.7","36.2","34.3","34.4","32.7","31.6","31.7","31","32.3","31","."
"Lappi","Simo","61.7","64","47.5","47.5","51","51","50.4","51.4","49.9","50.6","49.5","27.6","27.4","26","26.8","."
"Lappi","Sodankylä+Pelkosenn.+Savuk.","44.5","44.7","44.9","45.3","44.7","43.3","42.9","42.2","42.3","40.8","38.6","38.2","37.9","37","36.3","."
"Lappi","Tervola","52.5","53","53","52.7","53.4","52.9","49.1","47.8","49.2","53.8","54.1","48.5","48.9","48.5","45","."
"Lappi","Tornio","51.6","48","45.5","45.9","46.1","40.8","41","38","36","33.4","31.8","31.4","30.9","29.8","29","."
"Lappi","Utsjoki","38.8","47.2","52.8","72.6","72.3","80.6","87.3","87","43.1","53.2","52.2","53.8","53.3","52.8","50.6","."
"Lappi","Ylitornio+Pello","42","38.3","38.4","39.2","40","41.7","42.4","41.1","39.3","38.3","40.7","38.6","35.9","35.1","34.3","."
"Maakunta","Etelä-Karjala","43.6","43.4","42.8","43.3","43.3","43","40.6","39.3","36.6","35.7","35.3","33.9","33.9","33.8","31.9","."
"Maakunta","Etelä-Pohjanmaa","47.7","47.5","45.7","45.1","46.2","46.4","46.2","45.4","44.3","44.4","44.5","42.7","42.5","40.8","39.6","."
"Maakunta","Etelä-Savo","51.5","51.1","50.3","48.5","47","52.2","45.4","45.7","43","41.9","40.3","39","41.1","40","33.7","."
"Maakunta","Kainuu","51.4","53","51","51.5","51.5","50.6","48.7","46.5","45.3","39.4","42.7","41.2","40.6","41.8","38.4","."
"Maakunta","Kanta-Häme","44.9","44.6","43.2","46","47.4","48","48.1","45.6","43.2","41.8","40.7","39.9","39.5","38.7","38.7","."
"Maakunta","Keski-Pohjanmaa","58","48.9","49","49.2","48.4","48.2","47.4","46.1","46","48.1","47.5","46.4","46.5","39.8","37.8","."
"Maakunta","Keski-Suomi","51.3","51.8","50.9","50.6","50.7","49.9","48.7","48.2","45.9","44.5","41.8","40.1","39.1","38.6","37.8","."
"Maakunta","Kymenlaakso","39.4","42.1","41.3","41.4","40.9","39.3","42.4","42.5","41.1","40.8","37.6","35.5","34.8","34.9","33.7","."
"Maakunta","Lappi","48.5","50.1","48.5","48.3","48","46.9","47.9","45.6","43.3","41.8","40.7","39.6","38.5","37.1","35.9","."
"Maakunta","Päijät-Häme","48.6","49.5","49.4","50.1","49.3","50.4","49.3","45.7","44.4","43.1","41.8","40.1","39.9","38.5","37.8","."
"Maakunta","Pirkanmaa","48","48","48","47.8","48.4","46.2","43.9","42.3","41.4","40.8","40.3","40","39.4","38.6","38.1","."
"Maakunta","Pohjanmaa","49.9","50.2","48.7","49","47.9","47.2","47.5","44.7","42.3","40.8","39.8","38.7","37.8","37.5","37.9","."
"Maakunta","Pohjois-Karjala","50.2","50.6","51","50.7","50.7","50.3","47.4","47.7","47.5","46.3","45.3","44.3","43.4","42.8","41.5","."
"Maakunta","Pohjois-Pohjanmaa","51","50.4","49.8","49.9","49.1","48.1","47.1","46","45","44.7","43.9","42.6","42.1","40.7","39.6","."
"Maakunta","Pohjois-Savo","49.3","48.7","49.3","49.4","49","45.8","47","44.8","43.8","43.4","42.9","41.5","40.8","39.4","37.5","."
"Maakunta","Satakunta","46.4","46.4","45.9","46.5","46.3","45.8","44.1","45","44.1","42.8","40.5","39","40.8","39.6","38.8","."
"Maakunta","Uusimaa","43.4","44","44.2","44.6","44.8","42.9","41.3","39.5","37.9","38.1","37.8","36.9","37.6","38.1","37.9","."
"Maakunta","Varsinais-Suomi","47.8","47.7","47.6","47.4","47.1","45.7","45.4","43.7","42.7","42.7","39.8","39.4","38.7","37","38.3","."
"Päijät-Häme","Asikkala","39.5","40.2","41","46.8","49.1","67.6","74.7","35.9","34.8","33.5","39","32","30.9","30.3","31.1","."
"Päijät-Häme","Hämeenkoski","32","61.6","33.3","69.1","33.3","33.4","32.8","28.3","27.5","41.6","40.7","44.4","45.8","48.8","49.6","."
"Päijät-Häme","Hartola","42.7","48.9","50.5","53.3","52.6","45.9","43","41.1","37.4","41.7","37.5","37.5","38","37.2","40.9","."
"Päijät-Häme","Heinola","49.6","51.6","53.4","54","54.7","54.8","43","42.1","41.4","39.9","38.4","36.9","36.6","35.1","34.4","."
"Päijät-Häme","Hollola+Kärkölä","39.1","43.6","44.9","46","40.8","45.5","54.5","50.6","50.5","44.9","40.6","39.1","39.5","37.5","36.4","."
"Päijät-Häme","Lahti","54.6","54","53.5","53.2","52.9","52.9","51.5","49.7","47.9","46","45.2","43.8","43.3","42","40.8","."
"Päijät-Häme","Nastola","39.4","40.4","40.4","40.8","40.4","40.3","38.1","36.3","34.4","32.2","29.6","27.8","27","25.9","25","."
"Päijät-Häme","Orimattila","45.3","46","46.8","47.1","47.3","46.4","45.1","43.2","42.3","41.6","40.2","38.1","40.1","36.2","36.2","."
"Päijät-Häme","Padasjoki","42.8","43.7","45","45.2","49.4","53.3","59","52.4","52.2","50.9","51.4","47.2","46.8","45.9","44.2","."
"Päijät-Häme","Sysmä","58.1","54.6","52.5","51.1","51.6","51.7","46.2","45.2","44","44.4","42.4","40.5","33.1","37.3","38.6","."
"Pirkanmaa","Akaa","0","0","0","0","0","0","0","0","42.7","40.8","39.7","38.2","33","32.8","31.4","."
"Pirkanmaa","Hämeenkyrö","41.7","43.2","44.5","44.3","57.4","46.3","46.1","44.4","41.8","40.8","36.5","35.5","36.6","36.4","36.8","."
"Pirkanmaa","Ikaalinen","44.8","45.3","44.2","44.1","44.8","45.4","43.9","43.3","43.4","36.4","36.5","39","38.6","32","32.9","."
"Pirkanmaa","Juupajoki","38.3","35","32.7","28.9","28.8","27.7","27.3","25.1","23.1","26","25.7","24.1","23","22.2","21.8","."
"Pirkanmaa","Kangasala","51","51.3","51.3","47.8","46.9","42.1","25.1","16.9","33.7","41.5","40","42","36.7","37.3","36.7","."
"Pirkanmaa","Kihniö","38.3","34.8","33.3","32.7","34","35","33.5","32.2","31.2","31.8","30.9","29.1","28.8","28.6","27.5","."
"Pirkanmaa","Lempäälä","39.8","39.9","41.5","37.8","35.8","42.7","29.6","27.5","26.3","24.7","24.7","24.2","38.7","39.1","39","."
"Pirkanmaa","Mänttä-Vilppula","0","0","0","0","0","0","0","0","0","0","39.7","40.3","37.8","37.1","36.7","."
"Pirkanmaa","Nokia","40.6","41.3","41.8","41.8","36.1","43","33.9","36.4","30.5","32.4","32.8","35.8","35.3","34.2","33.7","."
"Pirkanmaa","Orivesi","45.9","45.5","47","45.6","43","44.7","44.6","39.4","40.1","36.1","40","37.5","38.2","38.5","39.1","."
"Pirkanmaa","Pälkäne","40.4","39.3","41.9","42.8","42.1","45.5","41.6","38.3","42","36.2","37.8","37.1","38","38.8","38.8","."
"Pirkanmaa","Parkano","43.4","43.2","41.4","41.5","39.8","41.2","39.5","40.3","39.3","37.8","38.7","37.9","38.1","37.2","36.4","."
"Pirkanmaa","Pirkkala","50.6","50","48.2","47.1","48.1","50.3","51.9","50.5","48.7","47.2","47.1","47.2","47","45.8","45","."
"Pirkanmaa","Punkalaidun","34.7","34.9","27.1","30.1","34.3","36.2","31.2","35.7","32.3","31.9","33.4","36.5","35.9","35.6","32.6","."
