"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Kanta-Häme","Hämeenlinna","1002480","1026940","1011510","1097617","1139706","1130748","1090851","1053973","1070318","1075498","1346549","1307118","1360821","1286179","1228142","."
"Kanta-Häme","Hattula","140198","141243","146452","154872","165894","167071","164662","162317","151859","152217","162573","162974","164356","162479","149015","."
"Kanta-Häme","Hausjärvi","157478","139171","135684","140425","137236","146772","144199","145548","138771","131958","133107","123089","124184","119165","112185","."
"Kanta-Häme","Humppila","24132","24641","25622","26080","26453","28425","27565","28720","29207","28031","29484","28133","27101","26987","23263","."
"Kanta-Häme","Janakkala","340990","359787","339968","351640","376670","390493","374887","353312","346624","334938","335215","320062","330942","325182","304344","."
"Kanta-Häme","Jokioinen","84039","85440","80409","85213","90172","97123","94753","90943","88749","83847","78588","74306","67290","68500","75317","."
"Kanta-Häme","Loppi","100449","103260","110224","110705","119339","120758","112464","110285","106688","99525","102016","95864","98298","88044","85149","."
"Kanta-Häme","Riihimäki","513146","509711","515882","542882","538487","594175","581352","581201","591030","601546","589449","591293","592640","575486","578074","."
"Kanta-Häme","Tammela","71064","76014","78040","78530","85621","91207","91311","79702","79435","74870","71130","71590","67535","72478","78220","."
"Kanta-Häme","Ypäjä","28833","30313","30931","35255","36048","40968","41998","42154","40369","40753","44000","37000","35156","34456","34532","."
"Keski-Pohjanmaa","Halsua","27044","22148","22634","21464","19816","19291","16859","15803","13271","12070","11439","13136","12224","11021","12179","."
"Keski-Pohjanmaa","Kannus","105024","109534","112093","114369","110347","106967","106162","102394","104493","114498","113306","118001","104179","95198","93705","."
"Keski-Pohjanmaa","Kaustinen","96216","99530","94642","97243","99492","98868","94707","87520","87614","84207","88729","91974","85599","80738","84388","."
"Keski-Pohjanmaa","Kokkola","720575","825909","815909","800183","774584","770308","771497","721571","696484","713254","821347","811721","827784","820914","812937","."
"Keski-Pohjanmaa","Lestijärvi","20855","19268","19124","15501","15556","14118","13454","12538","11947","9930","10087","11442","12248","10474","11107","."
"Keski-Pohjanmaa","Perho","62102","60746","61140","61439","60071","60258","56908","54002","50389","53041","48862","45525","43806","42547","39625","."
"Keski-Pohjanmaa","Toholampi","76537","78389","77492","78074","75036","78641","75512","78353","75572","73863","71895","62244","61687","62313","64257","."
"Keski-Pohjanmaa","Veteli","68683","51087","47809","50053","52886","40573","45743","47128","45455","46103","50212","49889","57889","58358","57430","."
"Keski-Suomi","Äänekoski","324089","324932","328330","324499","310240","303116","272029","279739","367218","356308","341981","319964","297648","279019","259101","."
"Keski-Suomi","Hankasalmi","94055","98638","104972","111683","110054","110867","107228","106213","103412","101601","101258","104620","102828","97387","83030","."
"Keski-Suomi","Jämsä","294557","317005","352685","366509","363682","365351","338404","316986","332301","332954","397562","391054","373572","361328","323142","."
"Keski-Suomi","Joutsa","68544","70371","72540","75165","69202","66924","73921","71748","72102","82063","79671","75985","70011","67369","64223","."
"Keski-Suomi","Jyväskylä","2032499","2114715","2151412","2246544","2249455","2225209","2181503","2175509","2147444","2122420","2960345","2932191","2977853","2941842","2790163","."
"Keski-Suomi","Kannonkoski","30657","29889","28392","29706","26034","26913","26710","28025","26358","26500","27114","22877","21826","22858","20789","."
"Keski-Suomi","Karstula","100548","100464","101510","107329","109926","112011","106506","100025","95734","95437","94055","90241","88494","87348","79917","."
"Keski-Suomi","Keuruu","211146","228078","224212","229483","217808","222864","220413","209302","207205","206281","193028","181392","177756","169905","164453","."
"Keski-Suomi","Kinnula","39292","34735","34012","33390","33523","34394","33641","34110","32778","32628","31187","28624","27503","26766","24136","."
"Keski-Suomi","Kivijärvi","22385","21591","24543","23719","23148","24382","24181","24693","24050","23061","20420","19873","16409","14542","12101","."
"Keski-Suomi","Konnevesi","52953","52816","56493","53857","57361","58280","55293","50572","48159","47102","44748","40161","39272","39923","39344","."
"Keski-Suomi","Kuhmoinen","52437","55949","58510","60848","58328","57676","54629","56519","54096","48374","44111","45261","45223","43766","41767","."
"Keski-Suomi","Kyyjärvi","29128","27620","27942","32216","32744","32988","33170","29877","26090","23702","23850","20703","24167","25568","23093","."
"Keski-Suomi","Laukaa","285117","306498","323481","332656","341956","348191","351083","338209","331487","332155","337752","329451","307667","332955","305222","."
"Keski-Suomi","Luhanka","9141","9790","9679","9699","9587","8909","9836","9391","10061","11201","10306","8586","8343","7874","7677","."
"Keski-Suomi","Multia","44046","44077","44540","45354","40573","38174","37515","32880","35637","36227","39572","36963","33252","26443","23494","."
"Keski-Suomi","Muurame","153075","165251","185266","193290","229190","205276","212728","207253","197924","206332","204814","201439","207874","199682","195108","."
"Keski-Suomi","Petäjävesi","41288","44842","45415","39646","38198","44365","47777","33332","50415","54032","57006","57202","58555","60872","63216","."
"Keski-Suomi","Pihtipudas+Viitasaari","119060","121562","111756","115778","115034","117234","111394","101672","91938","87973","79963","78145","77221","76401","186874","."
"Keski-Suomi","Saarijärvi","262376","260456","250415","255498","252069","245633","236044","231975","218427","205587","207364","193959","189335","185868","164340","."
"Keski-Suomi","Toivakka","43993","49326","55463","58227","56789","46291","46668","37259","34952","38393","36331","37016","34734","35186","33729","."
"Keski-Suomi","Uurainen","48572","51079","52083","52445","52077","53626","47778","42688","45175","45098","47167","45237","50869","53992","59578","."
"Kymenlaakso","Hamina","192444","208408","212396","211761","396317","400545","379404","378637","349091","336348","335645","341674","347522","345917","338089","."
"Kymenlaakso","Iitti","128346","130194","126074","131578","137572","139256","133213","126213","129671","132087","128054","122787","126373","121554","124158","."
"Kymenlaakso","Kotka","1109085","1210624","1199988","1187773","1045601","1208246","1122097","1005108","1039526","1017455","977264","910765","897910","892976","897585","."
"Kymenlaakso","Kouvola","886075","903616","872896","879254","845229","836582","781816","757145","790104","767002","1616388","1579858","1584218","1595170","1527616","."
"Kymenlaakso","Miehikkälä","32200","30693","28848","32062","26556","27044","23926","26317","24945","24521","22964","24833","24578","22491","25189","."
"Kymenlaakso","Pyhtää","65841","65531","69722","78136","76919","79572","82502","83679","77849","81761","74612","76056","75622","78692","81228","."
"Kymenlaakso","Virolahti","59039","48070","53240","51272","50471","57897","45347","41339","51209","47900","48674","48497","45895","49167","49997","."
"Lappi","Enontekiö","50977","50878","46007","44528","48105","43383","45140","48165","44610","42295","42684","43358","44567","45692","43252","."
"Lappi","Inari","162786","163769","162777","161526","163340","168958","151002","155833","132662","124251","122925","127071","122654","123383","116761","."
"Lappi","Kemi","576320","625588","651311","669161","665211","637947","568301","508788","439530","437161","418912","400352","389898","380590","313522","."
"Lappi","Kemijärvi","206190","197669","197868","198511","194008","191386","184492","169704","159344","162884","159510","153317","128073","122777","113595","."
"Lappi","Keminmaa","177972","206029","208585","206942","205829","214877","215780","177997","153430","144257","150045","143876","144025","134126","140251","."
"Lappi","Kittilä","112322","111860","115644","108334","110005","115825","114654","112677","114835","111259","112463","111214","121748","127745","126292","."
"Lappi","Kolari","126966","122276","119456","110848","108283","109916","103167","98598","97204","102332","96910","88002","71439","74322","71636","."
"Lappi","Muonio","57332","58891","59348","60104","58038","60696","59257","55271","53153","50677","46827","48479","49716","51985","48333","."
"Lappi","Posio","103575","103498","95734","93889","92430","93121","83376","72551","68079","66363","60196","60940","57811","53739","46324","."
"Lappi","Ranua","135235","140985","144131","141556","152352","153663","138455","127305","118561","112725","105218","94180","101885","108438","112591","."
"Lappi","Rovaniemi","997385","1017895","939636","969603","927561","953975","915595","1346851","1313961","1307976","1237892","1177139","1205308","1196930","1127647","."
