"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Kainuu","Kajaani","0.9","1","0.98","0.94","1","0.97","0.95","0.97","0.95","0.97","0.94","0.91","0.87","0.88","0.85","."
"Kainuu","Kuhmo","0.95","0.97","0.99","1","0.98","0.99","0.86","0.97","0.89","0.91","0.92","0.83","0.84","0.86","0.87","."
"Kainuu","Paltamo","1.07","0.95","0.79","0.92","1.16","1.16","1.16","1.17","0.98","0.98","1","1.02","1.03","1.05","1.07","."
"Kainuu","Puolanka","0.87","0.89","0.91","0.67","0.69","0.7","0.86","0.67","0.57","0.68","0.69","0.7","0.72","1","1.02","."
"Kainuu","Ristijärvi","0.85","0.88","0.89","0.92","0.93","0.95","0.96","0.69","0.7","0.76","0.71","0.66","0.99","1.07","1.1","."
"Kainuu","Sotkamo","0.97","0.98","1.04","1.01","0.98","0.98","0.98","0.98","0.98","0.95","1.07","0.87","0.88","0.97","0.96","."
"Kainuu","Suomussalmi","0.88","0.93","0.95","0.97","0.95","0.9","0.9","0.9","0.91","0.97","0.96","0.92","0.94","0.96","0.98","."
"Kainuu","Vaala","0.95","0.97","0.99","1.01","1.03","1.04","1.07","1.08","1.11","0.84","0.86","1.03","1.19","1.06","1","."
"Kanta-Häme","Forssa","0.8","0.88","0.85","0.84","0.85","0.92","0.87","0.88","0.88","0.87","0.85","0.85","0.87","0.82","0.87","."
"Kanta-Häme","Hämeenlinna","0.84","0.84","0.85","0.85","0.83","0.82","0.79","0.78","0.81","0.8","0.72","0.81","0.79","0.79","0.8","."
"Kanta-Häme","Hattula","0.61","0.6","0.59","0.56","0.56","0.55","0.55","0.55","0.53","0.54","0.64","0.63","0.69","0.68","0.69","."
"Kanta-Häme","Hausjärvi","0.86","0.86","0.98","0.92","0.97","1.09","1.11","1.07","1.03","1.03","0.98","0.82","0.82","0.82","0.8","."
"Kanta-Häme","Humppila","0.77","0.77","0.77","0.76","0.77","0.77","0.77","0.77","0.77","0.78","0.79","0.79","0.8","0.8","0.8","."
"Kanta-Häme","Janakkala","0.88","0.87","0.88","0.85","0.84","0.8","0.84","0.84","0.78","0.79","0.77","0.81","0.8","0.73","0.75","."
"Kanta-Häme","Jokioinen","0.72","0.71","0.55","0.71","0.8","0.84","0.77","0.73","0.71","0.73","0.73","0.73","0.81","0.72","0.73","."
"Kanta-Häme","Loppi","0.86","0.87","0.86","0.84","0.84","0.83","0.87","0.88","0.87","0.86","0.86","0.85","0.85","0.84","0.84","."
"Kanta-Häme","Riihimäki","0.77","0.77","0.84","0.76","0.78","0.77","0.8","0.79","0.81","0.79","0.81","0.8","0.76","0.76","0.75","."
"Kanta-Häme","Tammela","0.47","0.6","0.63","0.62","0.62","0.62","0.62","0.61","0.61","0.63","0.63","0.62","0.64","0.61","0.63","."
"Kanta-Häme","Ypäjä","0.79","0.8","0.8","0.81","0.83","0.82","0.82","0.82","0.83","0.83","0.84","0.85","0.78","0.78","0.8","."
"Keski-Pohjanmaa","Halsua","0.88","0.94","1.16","1.3","1.33","1.34","1.29","1.3","1.34","1.33","1.48","1.51","1.55","1.57","1.6","."
"Keski-Pohjanmaa","Kannus","0.88","0.89","0.9","0.89","0.89","0.87","0.89","0.89","0.86","0.93","0.93","0.93","0.97","0.98","0.77","."
"Keski-Pohjanmaa","Kaustinen","0.78","0.68","0.68","0.86","0.81","0.79","0.59","0.62","0.69","0.66","0.64","0.73","0.73","0.71","0.7","."
"Keski-Pohjanmaa","Kokkola","0.99","0.97","1.01","0.97","1.03","1.05","1.03","0.96","0.99","0.96","1.02","0.93","0.99","0.95","0.97","."
"Keski-Pohjanmaa","Lestijärvi","1.69","1.75","1.73","1.6","1.63","1.64","1.67","1.68","1.49","1.55","1.5","1.53","1.55","1.53","1.56","."
"Keski-Pohjanmaa","Perho","0.61","0.62","0.63","0.48","0.78","0.74","0.67","0.66","0.67","0.66","0.66","0.67","0.68","0.75","0.75","."
"Keski-Pohjanmaa","Toholampi","1.05","1.02","0.95","1","1.02","1.03","0.82","0.82","0.82","0.84","0.85","0.86","0.86","0.86","0.88","."
"Keski-Pohjanmaa","Veteli","0.66","0.73","0.73","0.85","1.02","0.79","0.8","0.82","0.78","0.79","0.78","0.82","0.82","0.83","0.84","."
"Keski-Suomi","Äänekoski","0.68","0.68","0.68","0.69","0.69","0.7","0.7","0.7","0.72","0.72","0.72","0.73","0.71","0.67","0.63","."
"Keski-Suomi","Hankasalmi","0.99","0.91","0.64","0.89","0.78","0.86","0.86","0.84","0.9","0.8","0.92","0.91","0.9","0.91","0.92","."
"Keski-Suomi","Jämsä","0.81","0.82","0.81","0.82","0.82","0.82","0.83","0.83","0.82","0.91","0.82","0.81","0.87","0.81","0.75","."
"Keski-Suomi","Joutsa","0.72","0.71","0.74","0.74","0.74","0.75","0.81","0.78","1.01","0.98","1","1.02","1","1.04","1.04","."
"Keski-Suomi","Jyväskylä","1.04","1.03","1.01","1","0.99","0.97","0.96","0.93","0.89","0.88","0.8","0.78","0.77","0.76","0.75","."
"Keski-Suomi","Kannonkoski","1.12","1.14","1.03","0.97","0.98","1.01","1.23","1.23","1.22","1.24","1.24","1.26","1.27","1.26","1.22","."
"Keski-Suomi","Karstula","0.94","0.95","0.97","0.97","0.99","1","0.93","0.77","0.74","0.83","0.74","0.88","0.83","0.8","0.81","."
"Keski-Suomi","Keuruu","0.73","0.74","0.72","0.73","0.76","0.78","0.79","0.8","0.81","0.82","0.82","0.83","0.83","0.85","0.85","."
"Keski-Suomi","Kinnula","0.9","0.92","0.94","0.97","0.99","1.01","1.03","1.03","0.89","0.7","0.7","0.66","0.66","0.66","0.62","."
"Keski-Suomi","Kivijärvi","0.97","0.86","0.99","0.83","0.86","1.07","1.03","0.98","0.97","1","1.03","1.03","0.98","1.2","1.23","."
"Keski-Suomi","Konnevesi","0.79","0.77","0.78","0.78","0.94","0.94","0.95","0.97","0.98","0.99","1.01","1.01","1.01","1.03","1.03","."
"Keski-Suomi","Kuhmoinen","0.66","0.66","0.67","0.76","0.72","1.01","1.03","1.04","1.07","1.08","1.11","1.13","1.26","1.18","1.21","."
"Keski-Suomi","Kyyjärvi","1.07","1.04","1.06","1.07","1.07","1.09","1.12","1.15","1.15","0.84","0.96","0.96","1","1.03","1.08","."
"Keski-Suomi","Laukaa","0.85","0.86","0.85","0.91","0.9","0.89","0.88","0.8","0.79","0.78","0.77","0.77","0.76","0.75","0.71","."
"Keski-Suomi","Luhanka","1.14","1.15","1.18","1.2","1.2","1.22","1.23","1.25","1.3","1.17","1.43","1.44","1.32","1.27","1.25","."
"Keski-Suomi","Multia","1.78","1.52","1.3","1.29","1.14","1.15","1.17","0.98","1.08","1.1","1.11","1.15","1.15","1.46","1.17","."
"Keski-Suomi","Muurame","0.64","0.7","0.68","0.73","0.7","0.71","0.7","0.69","0.56","0.56","0.54","0.54","0.54","0.53","0.52","."
"Keski-Suomi","Petäjävesi","0.71","0.72","0.71","0.67","0.54","0.62","0.71","0.81","0.69","0.67","0.69","0.7","0.57","0.57","0.55","."
"Keski-Suomi","Pihtipudas+Viitasaari","0.84","0.85","0.86","0.78","0.88","0.88","0.83","0.81","0.78","0.71","0.85","0.74","0.75","0.64","0.65","."
"Keski-Suomi","Saarijärvi","0.78","0.74","0.73","0.78","0.82","0.85","0.83","0.87","0.84","0.79","0.84","0.84","0.79","0.81","0.79","."
